Setor,Ano,Emissoes
MUDANÇA DE USO DA TERRA E FLORESTAS  (com remoção),2009,421
TRATAMENTO DE RESÍDUOS,2009,51
ENERGIA,2010,375
PROCESSOS INDUSTRIAIS,2010,90
AGROPECUÁRIA,2010,407
MUDANÇA DE USO DA TERRA E FLORESTAS  (com remoção),2010,349
TRATAMENTO DE RESÍDUOS,2010,53
ENERGIA,2011,389
PROCESSOS INDUSTRIAIS,2011,96
AGROPECUÁRIA,2011,419
MUDANÇA DE USO DA TERRA E FLORESTAS  (com remoção),2011,283
TRATAMENTO DE RESÍDUOS,2011,56
ENERGIA,2012,422
PROCESSOS INDUSTRIAIS,2012,97
AGROPECUÁRIA,2012,415
MUDANÇA DE USO DA TERRA E FLORESTAS  (com remoção),2012,252
TRATAMENTO DE RESÍDUOS,2012,57
ENERGIA,2013,452
PROCESSOS INDUSTRIAIS,2013,98
AGROPECUÁRIA,2013,421
MUDANÇA DE USO DA TERRA E FLORESTAS  (com remoção),2013,391
TRATAMENTO DE RESÍDUOS,2013,61
ENERGIA,2014,475
PROCESSOS INDUSTRIAIS,2014,97
AGROPECUÁRIA,2014,426
MUDANÇA DE USO DA TERRA E FLORESTAS  (com remoção),2014,234
TRATAMENTO DE RESÍDUOS,2014,62
ENERGIA,2015,449
PROCESSOS INDUSTRIAIS,2015,95
AGROPECUÁRIA,2015,429
MUDANÇA DE USO DA TERRA E FLORESTAS  (com remoção),2015,332
TRATAMENTO DE RESÍDUOS,2015,63
