Período,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
P.Médio,37.0,20,19,35,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Crítico,51.0,33,33,47,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Médio,38.0,19,17,28,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
P.Crítico,51.0,33,33,39,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
P.Médio,37.0,20,21,34,42. Sobrecusto de 100 por cento no CAPEX de PCH
P.Crítico,51.0,34,35,45,42. Sobrecusto de 100 por cento no CAPEX de PCH
P.Médio,37.0,21,24,34,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
P.Crítico,51.0,33,39,49,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
P.Médio,41.0,9,7,3,36. Estagnaç╞o
P.Crítico,54.0,10,9,5,36. Estagnaç╞o
P.Médio,37.0,17,19,27,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Crítico,51.0,25,33,37,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Médio,38.0,21,24,31,24. Expans╞o de 8.000 MW de Usinas Nucleares
P.Crítico,51.0,34,40,46,24. Expans╞o de 8.000 MW de Usinas Nucleares
P.Médio,38.0,14,5,0,03. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
P.Crítico,51.0,21,5,0,03. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
P.Médio,37.0,20,18,32,62. Capacidade Instalada de GD alcança 75 GW em 2050
P.Crítico,51.0,33,32,43,62. Capacidade Instalada de GD alcança 75 GW em 2050
P.Médio,37.0,21,25,33,32. UHEs em áreas de interferência com CAPEX dobrado
P.Crítico,51.0,34,41,50,32. UHEs em áreas de interferência com CAPEX dobrado
P.Médio,37.0,26,37,67,10. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por centomaior
P.Crítico,51.0,40,59,88,10. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por centomaior
P.Médio,37.0,21,24,35,27. Capacidade Instalada de GD alcança 75 GW em 2050
P.Crítico,51.0,34,40,51,27. Capacidade Instalada de GD alcança 75 GW em 2050
P.Médio,38.0,14,4,0,02. Matriz Elétrica com expans╞o 100 por cento renovável
P.Crítico,51.0,21,5,0,02. Matriz Elétrica com expans╞o 100 por cento renovável
P.Médio,38.0,21,24,31,25. Expans╞o de 10.000 MW de Usinas Nucleares
P.Crítico,51.0,34,40,47,25. Expans╞o de 10.000 MW de Usinas Nucleares
P.Médio,41.0,9,7,3,01. Estagnaç╞o
P.Crítico,54.0,10,9,5,01. Estagnaç╞o
P.Médio,37.0,19,21,31,39.TodoTI Potencial Hidrelétrico Inventariado sem áreas de interferência
P.Crítico,51.0,33,35,43,39.TodoTI Potencial Hidrelétrico Inventariado sem áreas de interferência
P.Médio,49.0,14,5,0,06. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
P.Crítico,65.0,26,6,0,06. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
P.Médio,38.0,19,19,30,45. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento maior
P.Crítico,51.0,32,34,41,45. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento maior
P.Médio,38.0,21,26,34,20. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
P.Crítico,51.0,34,42,50,20. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
P.Médio,37.0,21,24,34,34. UHEs em áreas de interferência com Unidades de Conservaç╞o (UC) com CAPEX dobrado
P.Crítico,51.0,34,40,50,34. UHEs em áreas de interferência com Unidades de Conservaç╞o (UC) com CAPEX dobrado
P.Médio,38.0,19,18,27,19. Repotenciaç╞o e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Crítico,51.0,27,32,42,19. Repotenciaç╞o e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Médio,38.0,19,21,33,57. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
P.Crítico,51.0,32,34,44,57. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
P.Médio,37.0,18,17,27,18. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50 por cento maior na entressafra
P.Crítico,51.0,27,31,43,18. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50 por cento maior na entressafra
P.Médio,37.0,21,23,33,28. Capacidade Instalada de GD limitada a 25 GW em 2050
P.Crítico,51.0,35,39,48,28. Capacidade Instalada de GD limitada a 25 GW em 2050
P.Médio,38.0,19,18,31,58. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
P.Crítico,51.0,29,32,41,58. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
P.Médio,37.0,21,21,36,30. Potencial Inventariado Total exceto UHEs em áreas de interferência com Unidades de Conservaç╞o (UC)
P.Crítico,51.0,34,35,49,30. Potencial Inventariado Total exceto UHEs em áreas de interferência com Unidades de Conservaç╞o (UC)
P.Médio,37.0,20,21,34,50. Eólica Offshore com 20 por cento de reduç╞o de CAPEX
P.Crítico,51.0,34,35,45,50. Eólica Offshore com 20 por cento de reduç╞o de CAPEX
P.Médio,37.0,17,19,24,54. Repotenciaç╞o e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Crítico,51.0,26,34,36,54. Repotenciaç╞o e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Médio,37.0,19,19,27,09. Integraç╞o Elétrica com países da América do Sul
P.Crítico,51.0,33,34,39,09. Integraç╞o Elétrica com países da América do Sul
P.Médio,37.0,22,23,32,15. Eólica Offshore com 20 por cento de reduç╞o de CAPEX
P.Crítico,51.0,35,40,48,15. Eólica Offshore com 20 por cento de reduç╞o de CAPEX
P.Médio,37.0,20,24,32,35. UHEs com interferência após 2040
P.Crítico,51.0,33,39,42,35. UHEs com interferência após 2040
P.Médio,49.0,22,24,36,40. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
P.Crítico,65.0,77,77,89,40. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
P.Médio,38.0,19,17,28,47. Frota de veículos leves integralmente elétrica em 2050
P.Crítico,51.0,33,33,39,47. Frota de veículos leves integralmente elétrica em 2050
P.Médio,37.0,21,24,34,04. Exceto UC e TI Potencial Hidrelétrico Inventariado sem áreas de interferência
P.Crítico,51.0,34,40,50,04. Exceto UC e TI Potencial Hidrelétrico Inventariado sem áreas de interferência
P.Médio,37.0,24,64,132,49. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Crítico,51.0,38,80,147,49. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Médio,37.0,22,23,34,07. Sobrecusto de 100 por cento no CAPEX de PCH
P.Crítico,51.0,35,39,50,07. Sobrecusto de 100 por cento no CAPEX de PCH
P.Médio,37.0,17,19,29,53. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50 por cento maior na entressafra
P.Crítico,51.0,26,33,39,53. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50 por cento maior na entressafra
P.Médio,37.0,21,15,19,64. GN Pré-Sal ao preço de US$ 6MMBtu
P.Crítico,51.0,35,28,31,64. GN Pré-Sal ao preço de US$ 6MMBtu
P.Médio,37.0,19,19,32,60. Expans╞o de 10.000 MW de Usinas Nucleares
P.Crítico,51.0,33,33,43,60. Expans╞o de 10.000 MW de Usinas Nucleares
P.Médio,37.0,21,23,36,16. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Crítico,51.0,34,39,51,16. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Médio,37.0,19,19,32,59. Expans╞o de 8.000 MW de Usinas Nucleares
P.Crítico,51.0,33,33,43,59. Expans╞o de 8.000 MW de Usinas Nucleares
P.Médio,37.0,26,30,65,13. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
P.Crítico,51.0,41,45,81,13. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
P.Médio,38.0,21,24,33,21. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
P.Crítico,51.0,33,41,49,21. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
P.Médio,38.0,19,19,29,44. Integraç╞o Elétrica com países da América do Sul
P.Crítico,51.0,32,33,40,44. Integraç╞o Elétrica com países da América do Sul
P.Médio,37.0,17,18,28,17. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Crítico,51.0,27,32,44,17. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Médio,37.0,21,27,38,12. Frota de veículos leves integralmente elétrica em 2050
P.Crítico,51.0,34,43,53,12. Frota de veículos leves integralmente elétrica em 2050
P.Médio,38.0,14,4,0,37. Matriz Elétrica com expans╞o 100 por cento renovável
P.Crítico,51.0,21,5,0,37. Matriz Elétrica com expans╞o 100 por cento renovável
