Período,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
P.Crítico,35,39,55,74,12. Frota de veículos leves integralmente elétrica em 2050
P.Médio,29,22,30,44,32. UHEs em áreas de interferência com CAPEX dobrado
P.Crítico,35,39,52,69,32. UHEs em áreas de interferência com CAPEX dobrado
P.Médio,29,23,147,239,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Crítico,35,40,171,263,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Médio,29,17,14,13,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
P.Crítico,35,28,31,32,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
P.Médio,29,20,23,40,45. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% maior
P.Crítico,35,37,42,62,45. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% maior
P.Médio,34,13,13,6,6. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
P.Crítico,42,54,54,39,6. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
P.Médio,29,20,24,45,55. Redução de 45% no CAPEX de Usina Nuclear
P.Crítico,35,39,43,67,55. Redução de 45% no CAPEX de Usina Nuclear
P.Médio,30,10,7,4,36. Estagnação
P.Crítico,36,12,11,7,36. Estagnação
P.Médio,29,20,22,40,61. Carvão financiado com redução de 20% no CAPEX
P.Crítico,35,36,39,61,61. Carvão financiado com redução de 20% no CAPEX
