regiao,prod_etanol_anidro_hidr,ano
Região Sul,2,2018
Região Sul,2,2019
Região Sul,0,2020
Região Sul,0,2021
Região Sul,0,2022
Região Centro-Oeste,2218,2013
Região Centro-Oeste,2350,2014
Região Centro-Oeste,2712,2015
Região Centro-Oeste,2600,2016
Região Centro-Oeste,2668,2017
Região Centro-Oeste,3264,2018
Região Centro-Oeste,3307,2019
Região Centro-Oeste,2877,2020
Região Centro-Oeste,2637,2021
Região Centro-Oeste,3077,2022
Região Centro-Oeste,1182,2013
Região Centro-Oeste,1132,2014
Região Centro-Oeste,1316,2015
Região Centro-Oeste,1212,2016
Região Centro-Oeste,1415,2017
Região Centro-Oeste,1757,2018
Região Centro-Oeste,2254,2019
Região Centro-Oeste,3124,2020
Região Centro-Oeste,3935,2021
Região Centro-Oeste,4310,2022
Região Centro-Oeste,3888,2013
Região Centro-Oeste,4269,2014
Região Centro-Oeste,4809,2015
Região Centro-Oeste,4584,2016
Região Centro-Oeste,4875,2017
Região Centro-Oeste,4491,2018
Região Centro-Oeste,5471,2019
Região Centro-Oeste,5318,2020
Região Centro-Oeste,4980,2021
Região Centro-Oeste,5129,2022
